;1;2;3;4;5;6;7;8
1;3;77;84;87;84;73;71;82
2;81;88;80;75;77;73;82;79
3;81;78;71;88;73;70;79;72
4;89;85;88;75;72;73;82;82
5;70;76;88;89;85;77;82;72
6;83;78;84;72;90;78;86;79
7;72;84;79;75;74;78;72;84
8;76;82;71;84;81;86;78;86
9;77;83;90;71;76;81;81;75
10;88;72;70;87;87;73;75;70
11;79;84;78;74;86;88;86;79
12;78;89;75;76;89;88;71;83
13;74;86;90;83;75;75;90;89
14;79;75;89;82;75;79;86;73
15;87;73;77;81;84;86;72;74
16;88;89;88;88;87;81;78;89
17;79;71;90;76;79;90;90;77
18;85;75;81;89;71;80;89;79
19;81;82;86;88;71;76;76;77
20;71;82;75;90;71;72;84;90
21;81;82;87;70;70;82;82;79
22;72;71;78;79;71;75;74;72
23;87;85;80;87;84;70;87;70
24;86;72;80;79;88;84;79;86
25;88;87;82;71;89;75;75;77
26;83;88;86;88;88;82;83;77
27;86;90;81;77;77;72;89;80
28;77;82;83;74;82;90;87;73
29;85;72;89;77;70;86;73;77
30;79;89;77;73;86;78;80;83
31;86;77;77;87;86;70;72;87
32;73;84;85;90;87;83;89;89
33;75;89;76;74;80;90;86;75
34;88;72;87;75;79;88;82;80
35;81;87;84;87;78;76;87;70
36;84;90;82;78;78;83;72;85
37;73;70;80;78;89;75;90;83
38;83;77;82;88;72;80;85;86
39;80;77;87;76;80;81;73;73
40;86;80;73;81;82;81;82;70
41;84;82;82;79;83;75;83;87
42;85;78;87;85;87;90;86;84
43;81;81;85;77;90;76;87;70
44;71;87;74;72;89;85;71;87
45;89;84;87;71;75;78;89;82
46;82;78;83;84;78;76;88;87
47;75;90;71;70;74;80;79;89
48;89;80;71;74;79;80;90;89
49;73;78;84;90;84;74;84;72
50;72;77;87;75;70;82;79;70
51;90;72;79;76;81;85;88;78
52;71;82;78;77;78;88;88;89
53;86;74;87;74;90;82;90;70
54;70;88;77;70;85;87;75;75
55;87;75;70;86;73;86;80;80
56;90;77;85;78;72;71;78;76
57;88;87;83;74;86;88;71;88
58;87;73;77;75;73;90;82;78
59;85;81;80;71;85;88;87;73
60;86;86;72;88;75;70;74;86
61;73;78;78;87;70;79;87;88
62;90;88;74;90;85;76;79;80
63;88;70;70;88;74;73;80;89
64;71;89;82;78;78;80;74;81
65;70;90;70;80;81;89;74;90
66;71;85;78;78;70;80;77;84
67;80;84;70;74;83;84;74;71
68;81;79;88;70;84;86;75;88
69;72;90;86;81;71;76;71;79
70;89;79;71;80;87;78;77;90
71;75;82;72;74;70;83;77;87
72;74;80;85;73;74;86;85;84
73;89;84;71;76;79;84;74;73
